Wall time,Step,Value
1781426596.6280656,0,8.220532617997378e-05
1781426598.8634017,2,0.00029002042720094323
1781426599.9828067,3,0.00029016623739153147
1781426601.091754,4,0.0002605248591862619
1781426606.793252,9,0.000277237209957093
1781426607.924787,10,0.00026953042834065855
1781426609.0321968,11,0.0002722193894442171
1781426612.4106216,14,0.00027941109146922827
1781426613.506165,15,0.0002831371675711125
1781426614.6240628,16,0.0002817607601173222
1781426616.777868,18,0.00030227802926674485
1781426617.862505,19,0.000305327121168375
1781426618.9857326,20,0.0003065074561163783
1781426621.219789,22,0.00033834390342235565
1781426622.3634992,23,0.00033822059049271047
1781426625.8429344,26,0.0003687553689815104
1781426626.97076,27,0.0003777440870180726
1781426628.0653932,28,0.00039565679617226124
1781426629.153933,29,0.0003989598189946264
1781426630.2707856,30,0.00041458685882389545
1781426633.6613486,33,0.000456557929283008
1781426634.7429273,34,0.0004707416519522667
1781426636.962671,36,0.0005076390225440264
1781426638.0610185,37,0.0005288712563924491
1781426639.1828191,38,0.0005448673036880791
1781426640.277202,39,0.0005567797343246639
1781426641.4002492,40,0.0005561294383369386
1781426649.1715932,47,0.000628827721811831
1781426650.2602403,48,0.0006458698771893978
1781426651.3627217,49,0.0006593129364773631
1781426652.4774218,50,0.0006836515385657549
1781426653.5901425,51,0.0007009478285908699
1781426654.7231305,52,0.0007060123607516289
1781426655.8452592,53,0.0007292942027561367
1781426657.0047781,54,0.0007491520373150706
1781426658.1576807,55,0.0007530514849349856
1781426660.4668846,57,0.000787793833296746
1781426663.8750405,60,0.0008478980744257569
1781426664.9848576,61,0.0008499659015797079
1781426666.0841494,62,0.0008648912189528346
1781426667.2174733,63,0.0008986954344436526
1781426669.5567493,65,0.0009461160516366363
1781426670.689656,66,0.0009611744317226112
1781426671.8092573,67,0.0009281204547733068
1781426672.9342427,68,0.0010049635311588645
1781426675.1538942,70,0.0010582562536001205
1781426676.294928,71,0.0011311485432088375
1781426678.559146,73,0.0012089090887457132
1781426680.7324462,75,0.0012676643673330545
1781426682.996214,77,0.0013591083697974682
1781426684.192181,78,0.0013854013523086905
1781426685.283133,79,0.0015872283838689327
1781426686.3826969,80,0.0016216123476624489
1781426688.6126642,82,0.0017410942818969488
1781426689.7177076,83,0.0018671525176614523
1781426691.9544938,85,0.0019813422113656998
1781426693.1261408,86,0.0020496181678026915
1781426694.248355,87,0.0021234373562037945
1781426696.4631631,89,0.0022651259787380695
1781426697.5573106,90,0.0024225690867751837
1781426703.1253295,95,0.003124838462099433
