Wall time,Step,Value
1781426749.5017042,137,-0.4272889792919159
1781426750.6259923,138,-0.428961843252182
1781426751.779981,139,-0.43288612365722656
1781426756.1957357,143,-0.41673994064331055
1781426757.3316562,144,-0.4228745400905609
1781426758.4447381,145,-0.41831326484680176
1781426759.5698996,146,-0.41540250182151794
1781426760.7165809,147,-0.4165337085723877
1781426764.1691754,150,-0.422579824924469
1781426768.64851,154,-0.41318580508232117
1781426770.8739586,156,-0.40850937366485596
1781426771.9642081,157,-0.41302889585494995
1781426774.1320808,159,-0.39415794610977173
1781426775.2263777,160,-0.3755054175853729
1781426777.4303727,162,-0.3915848731994629
1781426778.574035,163,-0.3655928075313568
1781426779.653018,164,-0.30090177059173584
1781426781.898762,166,-0.3748246431350708
1781426784.115017,168,-0.39391016960144043
1781426786.3131797,170,-0.3823793828487396
1781426787.4589074,171,-0.38522475957870483
1781426788.5354247,172,-0.3846219778060913
1781426790.7728982,174,-0.3791448771953583
1781426791.8860352,175,-0.379493772983551
1781426793.0258687,176,-0.37575802206993103
1781426794.1489792,177,-0.37487244606018066
1781426795.2585242,178,-0.3722773492336273
1781426797.461491,180,-0.36549896001815796
1781426798.581915,181,-0.36382603645324707
1781426799.7278104,182,-0.3641512989997864
1781426800.899812,183,-0.3624301552772522
1781426802.0490007,184,-0.35917848348617554
1781426803.1789956,185,-0.35702645778656006
1781426804.3108137,186,-0.3530672490596771
1781426807.6477182,189,-0.34663304686546326
1781426808.7416055,190,-0.34607526659965515
1781426809.8430116,191,-0.3392808437347412
1781426810.9890172,192,-0.33823078870773315
1781426814.2852335,195,-0.3310551643371582
1781426817.6028898,198,-0.3311581313610077
1781426818.7197328,199,-0.32971811294555664
1781426819.8392146,200,-0.3251386284828186
1781426822.0189397,202,-0.3228330612182617
1781426823.082633,203,-0.32330483198165894
1781426824.2141922,204,-0.3032444715499878
1781426825.3464525,205,-0.3158988356590271
1781426827.6434438,207,-0.3138405978679657
1781426828.787553,208,-0.3128346800804138
1781426829.9273226,209,-0.3099028170108795
1781426832.19664,211,-0.30574172735214233
1781426834.448602,213,-0.3039577603340149
1781426836.7729394,215,-0.30060291290283203
1781426837.926137,216,-0.29694241285324097
1781426840.2213635,218,-0.29489609599113464
1781426841.3809497,219,-0.2928468585014343
1781426842.5394557,220,-0.29058489203453064
1781426843.6475291,221,-0.29020190238952637
1781426844.7911546,222,-0.2898511290550232
1781426847.0562778,224,-0.2874000072479248
1781426848.1982346,225,-0.2856965661048889
1781426849.3006516,226,-0.28550755977630615
1781426852.6096833,229,-0.2813117504119873
1781426854.7721322,231,-0.27759724855422974
1781426855.8707798,232,-0.27758193016052246
1781426858.088227,234,-0.2747220993041992
1781426859.2149425,235,-0.2742374539375305
1781426860.3432622,236,-0.27276068925857544
1781426861.4248576,237,-0.27062687277793884
1781426862.5503693,238,-0.26773637533187866
1781426863.6637685,239,-0.26764851808547974
1781426865.9338758,241,-0.2670021057128906
1781426867.0058973,242,-0.26624760031700134
1781426869.1617813,244,-0.26463553309440613
1781426870.2625546,245,-0.26158976554870605
1781426871.3524888,246,-0.26242774724960327
1781426872.4476938,247,-0.2538317143917084
1781426873.5509534,248,-0.2597597539424896
1781426874.6249585,249,-0.254514217376709
1781426878.010511,252,-0.25612255930900574
1781426879.147741,253,-0.25413691997528076
1781426880.3176715,254,-0.25277647376060486
1781426881.442347,255,-0.25292474031448364
1781426883.713569,257,-0.25108134746551514
1781426884.8420272,258,-0.249423548579216
1781426885.9893842,259,-0.2497817724943161
1781426887.1073685,260,-0.24939924478530884
1781426889.3909469,262,-0.2476552426815033
1781426890.5138435,263,-0.24690747261047363
1781426896.2190363,268,-0.2431197464466095
1781426898.5367882,270,-0.24205714464187622
1781426899.7041945,271,-0.2413170039653778
1781426903.0892303,274,-0.23854228854179382
1781426904.1846128,275,-0.23448601365089417
1781426905.3023744,276,-0.23793892562389374
1781426907.554649,278,-0.2377682775259018
1781426908.6837578,279,-0.2363705039024353
1781426909.8246083,280,-0.23289768397808075
1781426910.9578722,281,-0.23554688692092896
1781426912.0736516,282,-0.23473727703094482
1781426913.2158794,283,-0.2339366376399994
1781426914.3359365,284,-0.23427137732505798
1781426915.4294257,285,-0.23306910693645477
1781426917.617222,287,-0.23161053657531738
1781426918.7030354,288,-0.23242640495300293
1781426920.886298,290,-0.22860309481620789
1781426921.9396577,291,-0.227534681558609
