Wall time,Step,Value
1781426949.778001,316,20.40961456298828
1781426951.924864,318,20.581052780151367
1781426953.0550256,319,20.657827377319336
1781426954.1829004,320,20.5339412689209
1781426955.3166165,321,20.58765983581543
1781426956.3586588,322,20.8026123046875
1781426958.6302361,324,20.776086807250977
1781426961.9639714,327,20.76482391357422
1781426964.0964243,329,21.105924606323242
1781426965.160786,330,21.081356048583984
1781426966.2110894,331,21.051076889038086
1781426967.2218487,332,21.081995010375977
1781426968.2583358,333,21.181140899658203
1781426972.570789,337,21.403566360473633
1781426973.63184,338,21.818635940551758
1781426975.76392,340,21.911102294921875
1781426977.8897316,342,22.01201820373535
1781426978.8969657,343,22.01964569091797
1781426979.9578545,344,22.164058685302734
1781426981.0507069,345,22.069446563720703
1781426982.1319368,346,22.085142135620117
1781426984.2780218,348,22.326974868774414
1781426985.2946181,349,22.339567184448242
1781426986.344752,350,22.22608757019043
1781426988.5107303,352,22.44523048400879
1781426989.5671182,353,22.522449493408203
1781426990.6631494,354,22.497833251953125
1781426991.7044127,355,22.530061721801758
1781426993.8800364,357,22.67933464050293
1781426994.9701722,358,22.727266311645508
1781426997.1789198,360,22.757875442504883
1781426998.3159516,361,22.839488983154297
1781426999.415497,362,22.96592903137207
1781427000.552815,363,22.915786743164062
1781427001.684769,364,22.7836971282959
1781427002.7922266,365,22.866546630859375
1781427003.8991961,366,22.97151756286621
1781427004.9597023,367,22.942825317382812
1781427006.0708709,368,23.006275177001953
1781427007.1583877,369,23.079835891723633
1781427011.4853404,373,23.075748443603516
1781427012.5435648,374,23.087657928466797
1781427013.6784701,375,23.29155921936035
1781427015.896609,377,23.35663604736328
1781427017.0255938,378,23.322267532348633
1781427021.4507973,382,23.71327781677246
1781427023.6970108,384,23.75965118408203
1781427024.7742186,385,23.458995819091797
1781427025.8835313,386,23.727712631225586
1781427029.1888301,389,23.83175277709961
1781427030.282337,390,23.837284088134766
1781427031.3615923,391,23.85259246826172
1781427032.488203,392,23.941747665405273
1781427033.6091394,393,23.865821838378906
1781427034.7112708,394,24.102108001708984
1781427035.8129957,395,24.11727523803711
1781427036.9571655,396,24.04804801940918
1781427038.066242,397,24.080001831054688
1781427039.1449373,398,24.150346755981445
1781427040.2830398,399,24.102766036987305
1781427041.359943,400,24.215608596801758
1781427042.4354208,401,24.171791076660156
1781427043.51643,402,24.240245819091797
1781427045.729706,404,24.259143829345703
1781427047.9233756,406,24.362218856811523
1781427049.0139647,407,24.40399169921875
1781427050.1111114,408,24.431241989135742
1781427051.2179523,409,24.452648162841797
1781427054.4988134,412,24.53809356689453
1781427055.5947025,413,24.559301376342773
1781427056.6938467,414,24.596031188964844
1781427057.8155832,415,24.606754302978516
1781427061.1567419,418,24.52170181274414
1781427062.3096356,419,24.50283432006836
1781427064.6404507,421,24.753650665283203
1781427065.7500021,422,24.77218246459961
1781427068.840349,425,24.82063102722168
1781427069.9646156,426,24.774398803710938
1781427070.992128,427,24.978899002075195
1781427073.088847,429,24.93938446044922
1781427074.202873,430,24.944435119628906
1781427075.2689075,431,24.935665130615234
1781427078.4289021,434,24.964786529541016
1781427079.459145,435,25.180465698242188
1781427080.5350423,436,25.067182540893555
1781427081.6298738,437,25.130157470703125
1781427082.7470121,438,25.042789459228516
1781427083.8484905,439,25.045089721679688
1781427084.949687,440,25.188819885253906
1781427086.0405889,441,25.141613006591797
1781427088.2243235,443,24.966938018798828
1781427089.3252397,444,25.22576904296875
1781427090.4110792,445,25.154298782348633
1781427091.5613673,446,25.180553436279297
1781427095.9961197,450,25.24700355529785
1781427097.109425,451,25.28820037841797
1781427098.2021677,452,25.206106185913086
1781427099.281231,453,25.125158309936523
1781427100.3844395,454,25.089599609375
1781427102.56331,456,25.327159881591797
1781427104.6929457,458,25.372196197509766
1781427106.85669,460,25.234045028686523
1781427107.9611034,461,25.225732803344727
1781427109.0858228,462,25.37925910949707
1781427111.2748199,464,25.329505920410156
1781427112.3268335,465,25.473403930664062
1781427113.4153426,466,25.599695205688477
1781427115.560216,468,25.480125427246094
1781427117.7190943,470,25.585693359375
1781427118.7552786,471,25.620635986328125
1781427120.8893964,473,25.731021881103516
1781427121.9477663,474,25.69441795349121
1781427122.974007,475,25.64443016052246
1781427126.2109022,478,25.69738006591797
1781427127.2489986,479,25.775192260742188
1781427128.324882,480,25.687955856323242
1781427129.4537704,481,25.723899841308594
1781427130.5798318,482,25.803808212280273
